"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","24","0","2","1","0.000000","0","0"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","24","0","30","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","24","0","2","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","24","0","2","1","0.000000","0","0"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","24","0","26","6","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","24","0","15","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","24","0","2","1","0.000000","0","0"
"/Engine/EngineMaterials/BaseFlattenMaterial.BaseFlattenMaterial","24","0","51","1","0.000000","0","0"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","24","0","10","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","24","0","10","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","24","0","4","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","24","0","77","1","0.000000","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","24","0","635","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","24","0","22","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","24","0","4","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","24","0","4","1","0.000000","0","0"
"/Game/MobileHorrorAdvKit/Materials/M_Metal_Gold.M_Metal_Gold","24","0","45","1","0.000000","0","0"
"/Game/MobileHorrorAdvKit/Materials/M_black_2.M_black_2","24","0","60","1","0.000000","0","0"
"/Game/MobileHorrorAdvKit/Materials/M_polaroid_text.M_polaroid_text","24","0","45","1","0.000000","0","0"
"/Game/MobileHorrorAdvKit/Materials/M_polaroid_photo_1.M_polaroid_photo_1","24","0","15","1","0.000000","0","0"
"/Game/MobileHorrorAdvKit/Materials/M_white.M_white","24","0","45","1","0.000000","0","0"
"/Game/MobileHorrorAdvKit/Materials/M_picture.M_picture","24","0","45","1","0.000000","0","0"
"/Game/MobileHorrorAdvKit/Materials/M_white_wood.M_white_wood","24","0","45","1","0.000000","0","0"
"/Game/MobileHorrorAdvKit/Materials/M_frame_painting.M_frame_painting","24","0","51","1","0.000000","0","0"
"/Game/MobileHorrorAdvKit/Materials/M_frame_1.M_frame_1","24","0","51","1","0.000000","0","0"
"/Game/MobileHorrorAdvKit/Materials/M_white_worn.M_white_worn","24","0","45","1","0.000000","0","0"
"/Game/MobileHorrorAdvKit/Materials/M_glass.M_glass","24","0","8","2","0.000000","0","0"
"/Game/MobileHorrorAdvKit/Materials/M_wallpaper_6.M_wallpaper_6","24","0","45","1","0.000000","0","0"
"/Game/MobileHorrorAdvKit/Materials/M_black.M_black","24","0","60","1","0.000000","0","0"
"/Game/MobileHorrorAdvKit/Materials/M_cartoon_box_2.M_cartoon_box_2","24","0","45","1","0.000000","0","0"
"/Game/MobileHorrorAdvKit/Materials/M_cartoon_box_1.M_cartoon_box_1","24","0","45","1","0.000000","0","0"
"/Game/MobileHorrorAdvKit/Materials/M_carpet.M_Carpet","24","0","45","1","0.000000","0","0"
"/Game/MobileHorrorAdvKit/Materials/M_book_side.M_book_side","24","0","45","1","0.000000","0","0"
"/Game/MobileHorrorAdvKit/Materials/M_book_cover_4.M_book_cover_4","24","0","45","1","0.000000","0","0"
"/Game/MobileHorrorAdvKit/Materials/M_book_cover_3.M_book_cover_3","24","0","45","1","0.000000","0","0"
"/Game/MobileHorrorAdvKit/Materials/M_book_cover_2.M_book_cover_2","24","0","45","1","0.000000","0","0"
"/Game/MobileHorrorAdvKit/Materials/M_ball.M_ball","24","0","45","1","0.000000","0","0"
"/Game/MobileHorrorAdvKit/Materials/M_award.M_award","24","0","45","1","0.000000","0","0"
"/Game/MobileHorrorAdvKit/Materials/M_ancient_tablet.M_ancient_tablet","24","0","15","1","0.000000","0","0"
"/Game/MobileHorrorAdvKit/Materials/M_Wood_Floor_Walnut_Worn.M_Wood_Floor_Walnut_Worn","24","0","45","1","0.000000","0","0"
"/Game/MobileHorrorAdvKit/Materials/M_Water_Lake.M_Water_Lake","24","0","45","1","0.000000","0","0"
"/Game/MobileHorrorAdvKit/Materials/M_wallpaper_4.M_wallpaper_4","24","0","45","1","0.000000","0","0"
"/Game/MobileHorrorAdvKit/Materials/M_wallpaper_2.M_wallpaper_2","24","0","45","1","0.000000","0","0"
"/Game/MobileHorrorAdvKit/Materials/M_Concrete_Tiles.M_Concrete_Tiles","24","0","45","1","0.000000","0","0"
"/Game/MobileHorrorAdvKit/Materials/M_tiles_3.M_tiles_3","24","0","45","1","0.000000","0","0"
"/Game/MobileHorrorAdvKit/Materials/M_tiles_2.M_tiles_2","24","0","45","1","0.000000","0","0"
"/Game/MobileHorrorAdvKit/Materials/M_Tiles.M_Tiles","24","0","45","1","0.000000","0","0"
"/Game/MobileHorrorAdvKit/Materials/M_Snow.M_Snow","24","0","45","1","0.000000","0","0"
"/Game/MobileHorrorAdvKit/Materials/M_Metal_Rust.M_Metal_Rust","24","0","45","1","0.000000","0","0"
"/Game/MobileHorrorAdvKit/Materials/M_Ground_Grass.M_Ground_Grass","24","0","45","1","0.000000","0","0"
"/Game/MobileHorrorAdvKit/Materials/M_brick_wall.M_brick_wall","24","0","45","1","0.000000","0","0"
"/Game/MobileHorrorAdvKit/Materials/M_Brick_Clay_Old.M_Brick_Clay_Old","24","0","45","1","0.000000","0","0"
"/Game/MobileHorrorAdvKit/Materials/M_bowl.M_bowl","24","0","45","1","0.000000","0","0"
"/Game/MobileHorrorAdvKit/Materials/M_wallpaper_8.M_wallpaper_8","24","0","45","1","0.000000","0","0"
"/Game/MobileHorrorAdvKit/Materials/M_Wallpaper_7.M_Wallpaper_7","24","0","45","1","0.000000","0","0"
"/Game/MobileHorrorAdvKit/Materials/M_wallpaper_5.M_wallpaper_5","24","0","45","1","0.000000","0","0"
"/Game/MobileHorrorAdvKit/Materials/M_wallpaper_1.M_wallpaper_1","24","0","45","1","0.000000","0","0"
"/Game/MobileHorrorAdvKit/Materials/M_polaroid_photo_2.M_polaroid_photo_2","24","0","15","1","0.000000","0","0"
"/Game/MobileHorrorAdvKit/Materials/M_frame_2.M_frame_2","24","0","45","1","0.000000","0","0"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","24","0","2","1","0.000000","0","0"
"/Game/MobileHorrorAdvKit/Materials/M_teddybear_nose_and_eyes.M_teddybear_nose_and_eyes","24","0","15","1","0.000000","0","0"
"/Game/MobileHorrorAdvKit/Materials/M_teddybear_belly.M_teddybear_belly","24","0","15","1","0.000000","0","0"
"/Game/MobileHorrorAdvKit/Materials/M_teddybear.M_teddybear","24","0","15","1","0.000000","0","0"
"/Game/MobileHorrorAdvKit/Materials/M_book_cover_1.M_book_cover_1","24","0","45","1","0.000000","0","0"
"/Game/MobileHorrorAdvKit/Materials/M_Metal_Chrome.M_Metal_Chrome","24","0","45","1","0.000000","0","0"
"/Game/MobileHorrorAdvKit/Materials/M_Note_Example_Multiple_page_1.M_Note_Example_Multiple_page_1","24","0","15","1","0.000000","0","0"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","24","0","150","1","0.000000","0","0"
"/Game/MobileHorrorAdvKit/Materials/M_wood_box.M_wood_box","24","0","45","1","0.000000","0","0"
"/Game/MobileHorrorAdvKit/Blueprints/Ai_enemy/Mannequin/Character/Materials/M_UE4Man_Body.M_UE4Man_Body","24","0","88","2","0.000000","0","0"
"/Game/MobileHorrorAdvKit/Materials/M_Emissive.M_Emissive","24","0","60","1","0.000000","0","0"
"/Game/MobileHorrorAdvKit/Materials/M_door.M_door","24","0","45","1","0.000000","0","0"
"/Game/MobileHorrorAdvKit/Materials/M_wood.M_wood","24","0","45","1","0.000000","0","0"
"/Game/MobileHorrorAdvKit/Materials/M_note_example_2.M_note_example_2","24","0","22","1","0.000000","0","0"
"/Game/MobileHorrorAdvKit/Materials/M_Note_Example_1.M_Note_Example_1","24","0","15","1","0.000000","0","0"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","24","0","2","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","24","0","2","1","0.000000","0","0"
